SERVICIO;PRODUCTO;MES;CANTIDAD
GINECOLOGIA;ALCOHOL GLICERINADO;MAYO;0
GINECOLOGIA;ALCOHOL GLICERINADO;JUNIO;4
GINECOLOGIA;ALCOHOL GLICERINADO;JULIO;0
GINECOLOGIA;ALCOHOL GLICERINADO;AGOSTO;0
GINECOLOGIA;ALCOHOL GLICERINADO;SEPTIEMBRE;0
GINECOLOGIA;ALCOHOL GLICERINADO;OCTUBRE;8
GINECOLOGIA;ALCOHOL GLICERINADO;NOVIEMBRE;0
GINECOLOGIA;ALCOHOL GLICERINADO;DICIEMBRE;4
PEDIATRIA;JABON QUIRURGICO;ENERO;11
PEDIATRIA;JABON QUIRURGICO;FEBRERO;0
PEDIATRIA;JABON QUIRURGICO;MARZO;8
PEDIATRIA;JABON QUIRURGICO;ABRIL;2
PEDIATRIA;JABON QUIRURGICO;MAYO;4
PEDIATRIA;JABON QUIRURGICO;JUNIO;0
PEDIATRIA;JABON QUIRURGICO;JULIO;8
PEDIATRIA;JABON QUIRURGICO;AGOSTO;4
PEDIATRIA;JABON QUIRURGICO;SEPTIEMBRE;5
PEDIATRIA;JABON QUIRURGICO;OCTUBRE;4
PEDIATRIA;JABON QUIRURGICO;NOVIEMBRE;8
PEDIATRIA;JABON QUIRURGICO;DICIEMBRE;2
PEDIATRIA;ALCOHOL GLICERINADO;ENERO;7
PEDIATRIA;ALCOHOL GLICERINADO;FEBRERO;0
PEDIATRIA;ALCOHOL GLICERINADO;MARZO;0
PEDIATRIA;ALCOHOL GLICERINADO;ABRIL;4
PEDIATRIA;ALCOHOL GLICERINADO;MAYO;0
PEDIATRIA;ALCOHOL GLICERINADO;JUNIO;4
PEDIATRIA;ALCOHOL GLICERINADO;JULIO;0
PEDIATRIA;ALCOHOL GLICERINADO;AGOSTO;4
PEDIATRIA;ALCOHOL GLICERINADO;SEPTIEMBRE;4
PEDIATRIA;ALCOHOL GLICERINADO;OCTUBRE;4
PEDIATRIA;ALCOHOL GLICERINADO;NOVIEMBRE;4
PEDIATRIA;ALCOHOL GLICERINADO;DICIEMBRE;2
UCI;JABON QUIRURGICO;ENERO;17
UCI;JABON QUIRURGICO;FEBRERO;7
UCI;JABON QUIRURGICO;MARZO;19
UCI;JABON QUIRURGICO;ABRIL;12
UCI;JABON QUIRURGICO;MAYO;15
UCI;JABON QUIRURGICO;JUNIO;12
UCI;JABON QUIRURGICO;JULIO;12
UCI;JABON QUIRURGICO;AGOSTO;26
UCI;JABON QUIRURGICO;SEPTIEMBRE;4
UCI;JABON QUIRURGICO;OCTUBRE;12
UCI;JABON QUIRURGICO;NOVIEMBRE;0
UCI;JABON QUIRURGICO;DICIEMBRE;4
UCI;ALCOHOL GLICERINADO;ENERO;17
UCI;ALCOHOL GLICERINADO;FEBRERO;7
UCI;ALCOHOL GLICERINADO;MARZO;15
UCI;ALCOHOL GLICERINADO;ABRIL;4
UCI;ALCOHOL GLICERINADO;MAYO;3
UCI;ALCOHOL GLICERINADO;JUNIO;12
UCI;ALCOHOL GLICERINADO;JULIO;19
UCI;ALCOHOL GLICERINADO;AGOSTO;12
UCI;ALCOHOL GLICERINADO;SEPTIEMBRE;4
UCI;ALCOHOL GLICERINADO;OCTUBRE;0
UCI;ALCOHOL GLICERINADO;NOVIEMBRE;0
UCI;ALCOHOL GLICERINADO;DICIEMBRE;2
CIRUGIA;JABON QUIRURGICO;ENERO;67
CIRUGIA;JABON QUIRURGICO;FEBRERO;94
CIRUGIA;JABON QUIRURGICO;MARZO;60
CIRUGIA;JABON QUIRURGICO;ABRIL;63
CIRUGIA;JABON QUIRURGICO;MAYO;69
CIRUGIA;JABON QUIRURGICO;JUNIO;75
CIRUGIA;JABON QUIRURGICO;JULIO;83
CIRUGIA;JABON QUIRURGICO;AGOSTO;92
CIRUGIA;JABON QUIRURGICO;SEPTIEMBRE;56
CIRUGIA;JABON QUIRURGICO;OCTUBRE;62
CIRUGIA;JABON QUIRURGICO;NOVIEMBRE;61
CIRUGIA;JABON QUIRURGICO;DICIEMBRE;64
CIRUGIA;ALCOHOL GLICERINADO;ENERO;5
CIRUGIA;ALCOHOL GLICERINADO;FEBRERO;0
CIRUGIA;ALCOHOL GLICERINADO;MARZO;4
CIRUGIA;ALCOHOL GLICERINADO;ABRIL;0
CIRUGIA;ALCOHOL GLICERINADO;MAYO;4
CIRUGIA;ALCOHOL GLICERINADO;JUNIO;4
CIRUGIA;ALCOHOL GLICERINADO;JULIO;4
CIRUGIA;ALCOHOL GLICERINADO;AGOSTO;26
CIRUGIA;ALCOHOL GLICERINADO;SEPTIEMBRE;0
CIRUGIA;ALCOHOL GLICERINADO;OCTUBRE;0
CIRUGIA;ALCOHOL GLICERINADO;NOVIEMBRE;4
CIRUGIA;ALCOHOL GLICERINADO;DICIEMBRE;4
CONSULTA EXTERNA;JABON QUIRURGICO;ENERO;5
CONSULTA EXTERNA;JABON QUIRURGICO;FEBRERO;8
CONSULTA EXTERNA;JABON QUIRURGICO;MARZO;12
CONSULTA EXTERNA;JABON QUIRURGICO;ABRIL;8
CONSULTA EXTERNA;JABON QUIRURGICO;MAYO;0
CONSULTA EXTERNA;JABON QUIRURGICO;JUNIO;4
CONSULTA EXTERNA;JABON QUIRURGICO;JULIO;12
CONSULTA EXTERNA;JABON QUIRURGICO;AGOSTO;4
CONSULTA EXTERNA;JABON QUIRURGICO;SEPTIEMBRE;4
CONSULTA EXTERNA;JABON QUIRURGICO;OCTUBRE;15
CONSULTA EXTERNA;JABON QUIRURGICO;NOVIEMBRE;23
CONSULTA EXTERNA;JABON QUIRURGICO;DICIEMBRE;4
CONSULTA EXTERNA;ALCOHOL GLICERINADO;ENERO;12
CONSULTA EXTERNA;ALCOHOL GLICERINADO;FEBRERO;12
CONSULTA EXTERNA;ALCOHOL GLICERINADO;MARZO;12
CONSULTA EXTERNA;ALCOHOL GLICERINADO;ABRIL;8
CONSULTA EXTERNA;ALCOHOL GLICERINADO;MAYO;8
CONSULTA EXTERNA;ALCOHOL GLICERINADO;JUNIO;8
CONSULTA EXTERNA;ALCOHOL GLICERINADO;JULIO;8
CONSULTA EXTERNA;ALCOHOL GLICERINADO;AGOSTO;8
CONSULTA EXTERNA;ALCOHOL GLICERINADO;SEPTIEMBRE;4
CONSULTA EXTERNA;ALCOHOL GLICERINADO;OCTUBRE;12
CONSULTA EXTERNA;ALCOHOL GLICERINADO;NOVIEMBRE;23
CONSULTA EXTERNA;ALCOHOL GLICERINADO;DICIEMBRE;4
